영문 행정동,법정동코드
Gu-ro4-dong,11530102
Chang2-dong,11320107
Sinwol1-dong,11470103
Mangwon-dong1,11440123
Amsa1-dong,11740107
Buam-dong,11110184
Myeong-dong,11140125
Ihwa-dong,11110165
Hongje3-dong,11410111
Mia-dong,11305101
Chang3-dong,11320107
Gocheok2-dong,11530106
Doksan4-dong,11545102
Sadang2-dong,11590106
Gaepo2-dong,11680103
Sang-do1-dong,11590103
Gwanghui-dong,11140145
Sinjeong4-dong,11470101
None,
Banghwa3-dong,11500109
Banghwa1-dong,11500109
Apgujeong-dong,11680110
Banpo4-dong,11650107
Banpo3-dong,11650106
Guui1-dong,11215103
Gayang-dong1,11500104
Daejo-dong,11380106
Sindang-dong,11140162
Samcheong-dong,11140162
Hoehyeon-dong,11140121
Sinsa-dong,11620102
Amsa3-dong,11740107
Yangjae1-dong,
Gahoe-dong,
Seocho3-dong,
Nokbeon-dong,
Deungchon-dong1,
Suyu3-dong,
Seongsu1ga2-dong,
Seocho4-dong,
Jamsil6-dong,
Daechi4-dong,
Cheonho1-dong,
Hwayang-dong,
Seongsu1ga1-dong,
Seongnae1-dong,
Beon3-dong,
Itaewon2-dong,
Nakseongdae-dong,
Cheonyeon-dong,
Yeoksam1-dong,
Muk2-dong,
Junghwa2-dong,
Suyu1-dong,
Sanggye2-dong,
Gasan-dong,
Sinwon-dong,
Siheung2-dong,
Jamsilbon-dong,
Seogyo-dong,
Junggok1-dong,
Gongneung1-dong,
Jayang1-dong,
Hwagok-dong1,
Sang-do4-dong,
Sajik-dong,
Yeoksam2-dong,
